icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
04014b,ETH704  ,Ethiopia,1560302899,1560302900,21.0451,39.5189,12192,false,245.25,316.36,0,,,12573,6625,false
a5a11a,ASA331  ,United States,1560302899,1560302900,-83.6138,38.9518,10363.2,false,199.77,267.64,0,,,10713.72,1763,false
a1efe7,ASA15   ,United States,1560302899,1560302899,-98.6955,48.9188,10363.2,false,221.75,269.07,-0.33,,,10340.34,7040,false
706210,JZR404  ,Kuwait,1560302899,1560302900,50.2954,26.9518,10363.2,false,241.04,301.38,0,,,11041.38,4025,false
04014e,ETH601  ,Ethiopia,1560302727,1560302731,55.3321,25.1076,2903.22,false,141.26,116.84,3.9,,,3009.9,0540,false
a2b622,JBU1837 ,United States,1560302740,1560302869,-72.0265,42.8629,9273.54,false,183.48,278.22,5.85,,,8458.2,4636,true
4d012b,UAE9832 ,Luxembourg,1560302900,1560302900,74.5418,19.7671,12496.8,false,246.05,83.28,0,,,13235.94,0567,false
a36c20,N32BR   ,United States,1560302899,1560302899,-108.6296,35.3906,13716,false,215.14,88.22,0,,,14203.68,7743,false
a3baff,AMF1953 ,United States,1560302899,1560302899,-117.2551,34.0186,1645.92,false,104.43,283.97,-4.23,,,1638.3,4754,false
a7ed0d,N61GT   ,United States,1560302900,1560302900,-86.0239,32.3732,1203.96,false,92.12,259.38,-0.33,,,1234.44,4167,false
c8195b,RLK847  ,New Zealand,1560302899,1560302899,172.5746,-43.4521,251.46,false,60.6,220.18,-4.23,,,243.84,5620,false
899052,EVA807  ,Taiwan,1560302899,1560302899,120.9496,25.1322,3368.04,false,166.36,254.76,0.33,,,3512.82,2625,false
a203c6,,United States,1560302894,1560302898,-80.823,37.2027,8534.4,false,202.73,242.33,0,,,8526.78,0530,false
899054,,Taiwan,,1560302898,,,4206.24,false,168.22,47.48,-3.58,,,4328.16,2630,false
4d0115,CLX7501 ,Luxembourg,1560302900,1560302900,-47.2253,-22.9422,1120.14,false,85.82,127.69,-3.9,,,1211.58,4200,false
a79d78,ASA596  ,United States,1560302899,1560302899,-119.9864,41.1514,11887.2,false,217.36,163.92,0,,,12405.36,,false
a6c120,AAL491  ,United States,1560302025,1560302900,-104.712,34.438,10073.64,false,238.61,83.69,0.33,,,10477.5,1312,false
040128,ETH702  ,Ethiopia,1560302900,1560302900,15.8101,40.5915,12184.38,false,237.69,297.45,-0.33,,,12595.86,2041,false
899026,TTW236  ,Taiwan,1560302899,1560302900,134.3853,35.6751,10066.02,false,240.99,52.37,0,,,10271.76,6272,false
899028,TTW303  ,Taiwan,1560302900,1560302900,116.2555,22.4837,9745.98,false,238.62,266.54,0,,,10469.88,6244,false
780e42,CQH8761 ,China,1560302738,1560302739,113.3122,22.1618,1554.48,false,136.01,212.49,0.33,,,1615.44,7404,false
a66a4c,EJA512  ,United States,1560302896,1560302898,-86.9209,37.9718,12192,false,187.1,264.48,0,,,12557.76,5675,false
a0bcb2,AAL2655 ,United States,1560302325,1560302899,-101.6544,35.8963,10668,false,261.41,132.61,-0.33,,,11094.72,0617,false
7c79d5,HARR88  ,Australia,1560302899,1560302899,150.7331,-31.0541,655.32,false,56.82,275.19,-0.33,,,800.1,,false
31896a,,Italy,,1560302827,,,,false,11.32,84,,,,,,false
a7912a,DAL424  ,United States,1560302893,1560302894,-87.5102,34.3739,10363.2,false,220.92,288.18,0,,,10812.78,2536,false
7c79d3,HARR87  ,Australia,1560302900,1560302900,150.4218,-31.0327,1158.24,false,71.83,101.15,-3.9,,,1272.54,3000,false
a7b7ea,FDX714  ,United States,1560302895,1560302899,-115.3591,38.5899,11590.02,false,231.91,260.04,0,,,11582.4,1427,false
70620b,JZR112  ,Kuwait,1560302819,1560302888,51.6048,25.2612,,true,0.06,247,,,,,2703,false
89901c,CAL791  ,Taiwan,1560302884,1560302890,120.602,24.8176,7307.58,false,218.28,224.24,10.08,,,7559.04,2626,false
a0c3b6,GTI3521 ,United States,1560302899,1560302900,-109.2907,35.5188,11887.2,false,241.4,73.53,0.33,,,12428.22,7345,false
aa8882,UAL1742 ,United States,1560302900,1560302900,-88.9658,40.0831,10645.14,false,220.09,224.34,3.9,,,10927.08,1335,false
780e3f,CES579  ,China,1560302858,1560302865,123.5014,36.7731,6888.48,false,212.71,23.22,0,,,7185.66,1034,false
a7077f,N552GR  ,United States,1560302900,1560302900,-107.1602,35.8275,13106.4,false,213.86,256.36,0.33,,,13594.08,3063,false
4d010b,CLX9752 ,Luxembourg,1560302900,1560302900,35.478,55.2603,10363.2,false,236.21,255.24,0,,,10713.72,6275,false
780e54,CSC8295 ,China,1560302899,1560302899,44.0834,55.5886,10972.8,false,222.91,272.12,0,,,11308.08,1504,false
899034,FEA022  ,Taiwan,1560302883,1560302899,121.0052,24.7924,3505.2,false,163.48,47.42,-6.5,,,3718.56,2155,false
899030,EVA056  ,Taiwan,1560302651,1560302651,-87.9749,41.9656,365.76,false,75.62,90,-3.9,,,419.1,4122,false
a2c938,N279PH  ,United States,1560302899,1560302900,-111.8556,40.295,13106.4,false,230.11,253.1,0.33,,,13616.94,7421,false
